order_id,product_id,quantity,discount
O9001,P162,8,7.92
O9001,P128,4,1.2
O9002,P339,6,16.77
O9002,P188,1,14.17
O9002,P326,7,3.03
O9002,P342,5,12.74
O9003,P346,7,0.73
O9003,P222,6,4.16
O9004,P156,1,3.78
O9005,P144,1,1.81
O9005,P146,4,13.68
O9006,P237,2,13.68
O9007,P139,1,4.63
O9007,P306,2,0.12
O9007,P359,8,13.61
O9008,P266,5,6.85
O9008,P314,6,16.52
O9009,P283,5,19.99
O9010,P354,5,17.06
O9010,P224,1,19.81
O9011,P107,7,10.0
O9012,P127,3,9.13
O9012,P350,6,14.39
O9012,P133,5,1.4
O9012,P127,4,7.45
O9012,P202,3,17.31
O9013,P132,6,5.55
O9014,P382,5,5.88
O9014,P101,1,10.61
O9014,P228,6,10.88
O9015,P201,5,8.2
O9016,P304,1,8.98
O9016,P294,4,3.51
O9017,P382,2,8.6
O9017,P163,6,8.08
O9018,P102,5,10.06
O9018,P397,2,12.79
O9018,P239,3,4.21
O9019,P283,3,9.1
O9019,P288,2,10.82
O9020,P188,3,3.27
O9021,P385,1,8.09
O9021,P156,7,14.32
O9022,P179,8,19.28
O9022,P109,1,2.24
O9022,P276,2,16.83
O9022,P258,7,8.07
O9022,P296,3,11.81
O9023,P163,5,4.67
O9023,P203,2,15.57
O9024,P218,1,16.55
O9024,P362,3,9.23
O9025,P228,3,17.0
O9025,P323,1,0.59
O9025,P162,4,19.84
O9025,P279,6,17.15
O9025,P136,4,7.01
O9026,P309,2,19.18
O9027,P265,1,15.79
O9027,P233,5,16.9
O9027,P321,5,2.78
O9027,P156,1,5.1
O9028,P328,1,11.52
O9029,P278,4,6.65
O9029,P135,5,10.72
O9030,P153,5,7.34
O9030,P273,3,11.13
O9030,P332,6,6.53
O9031,P123,3,14.73
O9032,P208,1,8.64
O9032,P133,6,10.67
O9032,P202,7,16.12
O9033,P370,7,9.27
O9034,P135,6,3.3
O9034,P223,5,15.12
O9034,P165,1,12.07
O9034,P139,2,18.17
O9034,P274,7,11.82
O9035,P392,8,4.24
O9035,P250,6,6.62
O9035,P156,3,0.97
O9035,P318,6,14.25
O9036,P139,7,17.3
O9036,P200,7,3.24
O9036,P255,4,14.57
O9037,P176,5,8.63
O9038,P334,7,0.19
O9038,P255,6,8.1
O9038,P235,4,15.02
O9038,P244,5,6.74
O9039,P124,7,11.89
O9039,P309,5,10.93
O9039,P185,1,2.06
O9039,P115,6,13.4
O9039,P388,4,6.43
O9040,P259,8,18.18
O9040,P124,7,19.38
O9040,P107,1,5.66
O9040,P239,4,17.63
O9040,P134,4,6.1
O9041,P197,4,14.77
O9041,P353,1,17.24
O9042,P275,5,12.05
O9043,P347,8,11.02
O9044,P225,2,15.86
O9044,P231,4,3.93
O9045,P232,5,15.13
O9045,P219,4,14.93
O9045,P246,5,17.33
O9046,P318,6,18.67
O9046,P194,3,17.9
O9046,P312,4,14.44
O9046,P153,3,6.87
O9047,P223,5,2.76
O9047,P295,4,9.63
O9048,P316,6,16.08
O9049,P133,7,6.97
O9049,P328,1,3.58
O9049,P390,8,4.46
O9049,P209,6,2.15
O9049,P334,4,5.07
O9050,P265,4,16.55
O9050,P153,3,2.68
O9050,P275,1,17.56
O9051,P302,8,3.38
O9051,P123,4,12.78
O9051,P187,7,2.88
O9052,P276,2,14.32
O9052,P114,1,17.44
O9052,P301,6,7.66
O9053,P213,7,1.05
O9053,P393,5,12.26
O9053,P281,8,0.16
O9053,P100,2,11.41
O9054,P399,1,17.33
O9054,P306,5,4.57
O9054,P286,7,14.65
O9054,P235,4,6.95
O9054,P170,4,9.99
O9055,P248,1,17.01
O9055,P245,5,4.06
O9055,P278,1,2.5
O9055,P289,1,5.01
O9055,P133,3,3.85
O9056,P294,3,16.39
O9056,P141,7,2.83
O9056,P343,1,17.57
O9057,P219,1,5.6
O9057,P389,5,10.79
O9058,P233,4,14.29
O9058,P165,1,2.06
O9058,P189,1,17.49
O9058,P297,7,7.05
O9058,P238,2,3.47
O9059,P397,2,13.48
O9059,P393,4,19.15
O9059,P255,8,8.19
O9060,P272,2,16.58
O9061,P161,3,1.3
O9061,P381,5,14.99
O9061,P143,1,5.93
O9061,P114,4,19.15
O9062,P389,6,4.97
O9062,P352,3,18.9
O9062,P241,3,18.17
O9062,P152,2,2.82
O9063,P249,2,5.94
O9063,P392,5,4.49
O9063,P307,5,3.24
O9063,P330,5,5.49
O9064,P272,6,6.32
O9064,P349,8,13.22
O9064,P330,6,0.99
O9065,P178,8,8.94
O9065,P211,4,13.17
O9066,P100,8,4.1
O9066,P365,4,15.13
O9066,P303,1,12.98
O9066,P178,1,3.77
O9067,P336,1,9.28
O9067,P338,2,7.61
O9067,P198,6,3.65
O9068,P374,3,19.42
O9068,P206,6,11.58
O9068,P306,1,8.98
O9068,P311,1,18.16
O9069,P305,7,7.58
O9069,P326,8,10.96
O9069,P211,6,14.77
O9069,P140,8,4.42
O9070,P355,3,12.28
O9070,P271,4,12.48
O9070,P202,7,3.55
O9070,P333,7,16.16
O9070,P133,5,9.08
O9071,P107,5,6.58
O9071,P307,1,13.69
O9071,P397,1,3.32
O9071,P232,8,3.5
O9071,P218,1,11.07
O9072,P364,2,0.73
O9072,P252,7,7.15
O9072,P335,2,5.19
O9073,P129,7,4.45
O9073,P144,8,10.36
O9073,P330,3,5.7
O9073,P318,2,2.76
O9074,P197,8,16.1
O9075,P306,6,11.37
O9075,P158,6,6.87
O9075,P204,4,10.32
O9075,P374,7,19.74
O9076,P327,6,18.21
O9076,P387,1,1.8
O9076,P169,2,7.57
O9077,P152,5,14.28
O9078,P319,2,17.87
O9078,P197,8,13.41
O9078,P300,5,14.39
O9078,P239,6,14.39
O9079,P319,2,2.49
O9079,P364,3,1.33
O9080,P107,2,7.11
O9081,P131,8,15.49
O9082,P316,1,15.19
O9082,P210,2,19.99
O9083,P375,4,7.91
O9084,P152,8,14.55
O9084,P226,1,6.11
O9084,P303,5,13.98
O9085,P219,1,15.42
O9085,P266,8,9.21
O9085,P190,6,12.86
O9085,P286,8,19.77
O9085,P378,7,0.96
O9086,P199,4,13.66
O9086,P143,2,0.08
O9087,P388,5,19.99
O9088,P199,4,17.48
O9088,P101,3,15.54
O9088,P347,4,0.42
O9088,P332,2,4.27
O9089,P398,5,16.55
O9089,P169,6,16.69
O9090,P230,1,5.56
O9090,P305,8,5.21
O9090,P168,3,17.83
O9090,P308,2,12.57
O9090,P199,8,6.12
O9091,P398,5,7.12
O9092,P141,2,4.36
O9093,P292,2,12.1
O9093,P290,4,15.69
O9093,P212,3,2.94
O9093,P244,3,4.92
O9094,P329,7,0.47
O9094,P359,5,11.72
O9095,P144,5,5.59
O9095,P348,1,18.37
O9095,P163,5,12.41
O9095,P206,7,3.62
O9095,P366,5,16.03
O9096,P177,6,13.21
O9096,P200,3,3.13
O9097,P366,4,1.0
O9097,P293,4,4.01
O9097,P176,5,11.79
O9098,P109,1,11.66
O9098,P355,3,5.99
O9098,P380,8,10.29
O9098,P165,4,8.87
O9098,P240,2,15.23
O9099,P234,7,2.38
O9099,P205,1,2.36
O9099,P308,5,0.16
O9099,P225,7,0.83
O9100,P198,2,10.11
O9101,P177,5,7.85
O9101,P232,5,0.24
O9101,P381,2,8.4
O9102,P315,8,13.0
O9102,P143,3,7.09
O9103,P207,1,19.99
O9104,P382,6,17.88
O9105,P374,3,12.23
O9105,P288,2,5.82
O9105,P363,8,3.36
O9105,P365,8,1.47
O9106,P132,2,15.42
O9106,P166,4,6.81
O9107,P194,2,17.8
O9107,P351,1,3.5
O9107,P221,7,14.91
O9107,P254,6,15.6
O9107,P162,6,5.8
O9108,P126,2,19.37
O9108,P300,4,13.38
O9108,P137,7,8.01
O9108,P329,3,2.26
O9108,P176,1,12.97
O9109,P200,5,0.1
O9109,P291,2,14.68
O9109,P153,8,9.1
O9109,P185,5,11.83
O9110,P386,6,14.05
O9111,P336,2,6.19
O9111,P264,4,12.03
O9111,P263,5,4.12
O9112,P200,3,7.16
O9112,P342,4,14.52
O9112,P260,1,9.89
O9113,P380,8,18.28
O9113,P159,7,19.11
O9114,P252,6,12.63
O9114,P144,1,6.08
O9114,P352,3,3.33
O9114,P304,5,19.18
O9114,P194,6,14.73
O9115,P356,7,4.53
O9115,P396,5,9.99
O9115,P157,5,2.27
O9115,P263,7,4.14
O9115,P219,7,2.48
O9116,P337,8,13.43
O9116,P384,5,19.54
O9117,P274,8,15.62
O9117,P313,4,7.4
O9117,P301,5,18.32
O9118,P302,5,19.72
O9118,P100,8,0.49
O9118,P147,5,2.38
O9119,P127,2,18.63
O9119,P176,1,10.33
O9119,P137,4,11.32
O9119,P302,4,3.98
O9119,P376,5,11.04
O9120,P220,2,16.06
O9120,P201,5,1.3
O9120,P375,6,7.08
O9120,P191,8,5.19
O9120,P135,6,4.69
O9121,P229,6,15.78
O9121,P236,8,3.1
O9122,P177,5,0.21
O9123,P120,5,18.14
O9124,P109,4,13.11
O9124,P121,3,19.63
O9125,P266,8,0.6
O9125,P330,1,14.04
O9126,P228,1,8.04
O9127,P169,2,14.97
O9127,P370,5,15.21
O9128,P200,6,2.41
O9128,P176,2,17.37
O9128,P345,1,6.15
O9128,P309,7,10.66
O9129,P139,8,8.39
O9130,P215,6,15.2
O9130,P107,1,7.59
O9130,P319,3,1.23
O9130,P283,1,0.79
O9131,P295,8,3.73
O9131,P320,3,19.41
O9131,P356,1,5.34
O9131,P273,7,3.09
O9132,P371,2,10.12
O9132,P278,1,18.76
O9132,P145,8,0.36
O9132,P100,7,9.0
O9133,P234,5,0.22
O9133,P154,2,9.19
O9133,P277,4,9.7
O9134,P292,7,6.31
O9134,P228,3,7.09
O9134,P373,6,19.96
O9134,P367,3,18.4
O9135,P140,1,7.79
O9135,P200,2,16.95
O9135,P249,6,14.71
O9136,P296,6,19.38
O9136,P246,8,13.29
O9136,P338,6,0.95
O9136,P360,8,0.58
O9137,P307,8,7.61
O9138,P263,5,10.71
O9138,P235,4,11.4
O9138,P367,6,15.67
O9139,P328,3,14.63
O9139,P397,2,12.86
O9139,P290,1,17.02
O9140,P193,8,1.71
O9140,P318,7,5.55
O9140,P288,4,14.68
O9140,P341,7,2.89
O9141,P233,8,7.28
O9141,P336,8,4.17
O9141,P393,1,11.57
O9141,P245,8,9.88
O9142,P213,5,15.84
O9143,P310,4,11.63
O9143,P217,2,0.06
O9144,P165,4,0.27
O9144,P383,4,3.78
