order_id,customer_id,order_date,order_status,shipping_cost
O9001,C00152,2023-11-28,Shipped,4.57
O9002,C01794,2023-10-16,Cancelled,12.7
O9003,C00093,2023-09-19,Cancelled,20.36
O9004,C01386,2023-06-09,Shipped,10.77
O9005,C00593,2023-11-18,Cancelled,19.67
O9006,C00187,2023-06-20,shipped,22.18
O9007,C00860,2023-10-12,shipped,2.93
O9008,C02098,2023-11-18,Cancelled,2.78
O9009,C00355,2023-11-11,Cancelled,20.16
O9010,C00940,2023-11-09,Pending,25.38
O9011,C01698,2023-07-25,Shipped,0.68
O9012,C01363,2023-09-24,shipped,24.82
O9013,C02016,2023-10-30,Pending,5.33
O9014,C00375,2023-04-19,shipped,12.75
O9015,C00238,2023-08-12,Pending,2.56
O9016,C01083,2023-02-18,Pending,23.65
O9017,C01737,2023-07-24,shipped,23.8
O9018,C02184,2023-01-26,Cancelled,5.23
O9019,C01577,2023-01-28,Shipped,5.82
O9020,C01897,2023-03-20,Pending,8.77
O9021,C00184,2023-07-01,shipped,26.53
O9022,C01364,2023-08-06,Cancelled,23.62
O9023,C00048,2023-10-24,Cancelled,17.59
O9024,C01710,2023-05-31,Cancelled,21.7
O9025,C01230,2023-05-25,Pending,1.14
O9026,C01722,2023-05-13,shipped,7.52
O9027,C01849,2023-04-30,Shipped,28.74
O9028,C00665,2023-07-13,Shipped,26.22
O9029,C01220,2023-01-28,Cancelled,8.02
O9030,C00601,2023-09-23,Pending,22.71
O9031,C01825,2023-02-09,Cancelled,25.46
O9032,C01904,2023-05-30,shipped,2.56
O9033,C01576,2023-05-09,Cancelled,15.83
O9034,C02189,2023-09-09,Shipped,5.13
O9035,C00732,2023-12-12,Pending,13.99
O9036,C00182,2023-09-13,Shipped,5.73
O9037,C00546,2023-12-22,Shipped,17.08
O9038,C01878,2023-05-09,shipped,20.51
O9039,C00915,2023-07-06,shipped,7.3
O9040,C01222,2023-05-10,shipped,20.62
O9041,C00247,2023-08-12,Cancelled,4.58
O9042,C01019,2023-07-08,shipped,23.47
O9043,C01796,2023-12-20,shipped,26.35
O9044,C01447,2023-02-04,Shipped,7.12
O9045,C02039,2023-01-09,Pending,5.39
O9046,C00495,2023-11-02,Pending,14.51
O9047,C01867,2023-01-10,Cancelled,9.14
O9048,C02182,2023-03-22,Pending,12.67
O9049,C01667,2023-02-10,shipped,24.75
O9050,C01767,2023-09-04,Shipped,9.68
O9051,C00927,2023-05-18,Shipped,18.06
O9052,C00531,2023-11-15,Pending,5.79
O9053,C02198,2023-05-22,Cancelled,0.85
O9054,C01754,2023-08-23,Cancelled,23.43
O9055,C01377,2023-05-20,Pending,6.83
O9056,C01304,2023-09-18,Cancelled,27.17
O9057,C00622,2023-05-25,Cancelled,23.18
O9058,C00498,2023-07-05,Pending,17.47
O9059,C01080,2023-12-16,shipped,3.35
O9060,C00535,2023-10-18,Shipped,18.4
O9061,C00228,2023-10-09,Pending,5.55
O9062,C00325,2023-02-28,Shipped,10.21
O9063,C01676,2023-01-28,Pending,10.59
O9064,C01059,2023-12-07,Shipped,9.09
O9065,C01270,2023-02-13,Pending,11.88
