payment_id,order_id,payment_date,amount,method
PMT399011,O18644,2023-10-09,552.23,Bank
PMT893728,O16094,2023-01-11,1324.53,PayPal
PMT341614,O14802,2023-12-31,1897.09,PayPal
PMT647260,O16963,2023-12-22,2771.2,credit
PMT338186,O9265,2023-04-09,31.22,Debit
PMT505972,O18906,2023-02-17,1876.03,Credit
PMT402755,O10775,2023-08-11,1016.25,Bank
PMT293072,O14246,2023-08-18,2629.43,Debit
PMT818477,O12541,2023-08-12,517.56,Bank
PMT797413,O12204,2023-04-12,486.85,Credit
PMT825193,O14722,2023-01-13,465.55,Bank
PMT867045,O15846,2023-04-18,607.72,credit
PMT469657,O17500,2023-04-28,2133.15,Credit
PMT345257,O9466,2023-06-13,2663.17,Debit
PMT211245,O17112,2023-08-01,1067.02,Credit
PMT302015,O17845,2023-02-26,1549.63,Debit
PMT666450,O10438,2023-06-23,1143.01,credit
PMT651452,O14472,2023-11-24,241.05,Credit
PMT546657,O18500,2023-04-25,228.12,Credit
PMT183236,O16295,2023-05-27,1871.14,credit
PMT076566,O14383,2023-03-31,1425.14,credit
PMT741592,O11463,2023-08-18,2257.48,Credit
PMT521339,O18052,2023-12-01,1705.06,Bank
PMT328769,O15781,2023-07-29,1167.01,PayPal
PMT471735,O13605,2023-07-26,1855.3,Bank
PMT917604,O14659,2023-09-02,503.08,credit
PMT320654,O12518,2023-04-19,1469.51,Credit
PMT098411,O16726,2023-02-11,1500.76,PayPal
PMT097223,O14522,2023-08-20,1785.86,PayPal
PMT530828,O16156,2023-11-26,546.65,Debit
PMT467710,O17570,2023-02-12,878.45,Credit
PMT031125,O18588,2023-01-01,1842.65,Debit
PMT592534,O15575,2023-12-04,963.3,Credit
PMT943101,O14193,2023-11-28,255.42,Debit
PMT645935,O12489,2023-10-21,407.68,Debit
PMT339287,O15740,2023-06-22,1611.59,PayPal
PMT579700,O14783,2023-02-10,2345.14,Bank
PMT606599,O9023,2023-02-09,2199.99,Credit
PMT582230,O17820,2023-12-30,2257.07,Credit
PMT233401,O17945,2023-10-04,138.18,credit
PMT951441,O14703,2023-05-09,592.11,credit
PMT355864,O13487,2023-02-02,1706.1,Debit
PMT033856,O18170,2023-05-19,2952.56,Debit
PMT027391,O10661,2023-10-27,129.46,Credit
PMT476198,O16611,2023-04-19,2111.19,credit
PMT461642,O12294,2023-07-11,2352.45,PayPal
PMT525478,O12158,2023-05-28,1440.13,Debit
PMT380345,O13603,2023-11-30,713.15,Credit
PMT289081,O18920,2023-10-23,1511.12,PayPal
PMT977477,O17709,2023-06-21,1458.75,Bank
PMT564186,O14183,2023-01-19,2029.66,PayPal
PMT606823,O13827,2023-05-09,2957.65,Bank
PMT379403,O16596,2023-03-05,1481.82,credit
PMT695349,O15868,2023-06-16,135.54,Bank
PMT407435,O9958,2023-09-09,1618.48,credit
PMT179892,O18257,2023-01-10,2188.11,Debit
PMT218085,O18643,2023-07-18,685.01,Credit
PMT946597,O15679,2023-01-20,1455.83,Debit
PMT461045,O10733,2023-01-25,2757.09,Debit
PMT972413,O11722,2023-05-24,2104.57,Bank
PMT119413,O10375,2023-07-05,1615.63,Bank
PMT416450,O14752,2023-10-04,2571.28,Credit
PMT398664,O15903,2023-10-27,1051.57,credit
PMT475969,O14333,2023-08-09,1006.97,Debit
PMT133804,O9304,2023-06-11,602.7,Debit
PMT551640,O18457,2023-07-05,2505.73,credit
PMT271735,O13772,2023-08-19,1123.84,Bank
PMT039667,O17711,2023-02-02,2135.17,credit
PMT069647,O10351,2023-05-31,1421.71,Credit
PMT693352,O10669,2023-12-17,263.89,credit
PMT155244,O9013,2023-06-13,2198.82,Bank
